project_type,component_type,instance_count
EquipmentRoom,IfcAirTerminal,149
EquipmentRoom,IfcAirTerminalBox,1
EquipmentRoom,IfcAlarm,5
EquipmentRoom,IfcAudioVisualAppliance,9
EquipmentRoom,IfcBeam,2409
EquipmentRoom,IfcBoiler,7
EquipmentRoom,IfcBuildingElementProxy,10
EquipmentRoom,IfcCableCarrierFitting,1640
EquipmentRoom,IfcCableCarrierSegment,9535
EquipmentRoom,IfcChiller,14
EquipmentRoom,IfcCoil,17
EquipmentRoom,IfcColumn,496
EquipmentRoom,IfcCommunicationsAppliance,4
EquipmentRoom,IfcController,11
EquipmentRoom,IfcCoolingTower,2
EquipmentRoom,IfcCovering,8130
EquipmentRoom,IfcCurtainWall,59
EquipmentRoom,IfcDamper,466
EquipmentRoom,IfcDiscreteAccessory,1697
EquipmentRoom,IfcDistributionChamberElement,2
EquipmentRoom,IfcDistributionControlElement,4
EquipmentRoom,IfcDoor,105
EquipmentRoom,IfcDuctFitting,3484
EquipmentRoom,IfcDuctSegment,14848
EquipmentRoom,IfcDuctSilencer,99
EquipmentRoom,IfcElectricAppliance,8
EquipmentRoom,IfcElectricGenerator,1
EquipmentRoom,IfcEnergyConversionDevice,11
EquipmentRoom,IfcFan,3
EquipmentRoom,IfcFastener,5
EquipmentRoom,IfcFilter,92
EquipmentRoom,IfcFireSuppressionTerminal,52
EquipmentRoom,IfcFlowController,130
EquipmentRoom,IfcFlowInstrument,101
EquipmentRoom,IfcFlowMeter,42
EquipmentRoom,IfcFlowMovingDevice,143
EquipmentRoom,IfcFlowTreatmentDevice,31
EquipmentRoom,IfcFooting,110
EquipmentRoom,IfcHeatExchanger,9
EquipmentRoom,IfcInterceptor,1
EquipmentRoom,IfcLightFixture,77
EquipmentRoom,IfcMechanicalFastener,78
EquipmentRoom,IfcMember,9
EquipmentRoom,IfcOutlet,11
EquipmentRoom,IfcPile,3
EquipmentRoom,IfcPipeFitting,4387
EquipmentRoom,IfcPipeSegment,79453
EquipmentRoom,IfcProtectiveDeviceTrippingUnit,1
EquipmentRoom,IfcPump,25
EquipmentRoom,IfcRailing,12
EquipmentRoom,IfcRampFlight,1
EquipmentRoom,IfcSanitaryTerminal,35
EquipmentRoom,IfcSensor,10
EquipmentRoom,IfcSlab,224
EquipmentRoom,IfcSolarDevice,1
EquipmentRoom,IfcStair,82
EquipmentRoom,IfcStairFlight,71
EquipmentRoom,IfcSwitchingDevice,18
EquipmentRoom,IfcTank,21
EquipmentRoom,IfcTendonAnchor,1
EquipmentRoom,IfcTransformer,4
EquipmentRoom,IfcTransportElement,1
EquipmentRoom,IfcValve,285
EquipmentRoom,IfcWall,1122
EquipmentRoom,IfcWindow,14
FactoryBuilding,IfcAirTerminal,30
FactoryBuilding,IfcBeam,1873
FactoryBuilding,IfcBuildingElementProxy,23
FactoryBuilding,IfcCableCarrierFitting,104
FactoryBuilding,IfcCableCarrierSegment,739
FactoryBuilding,IfcCoil,2
FactoryBuilding,IfcColumn,628
FactoryBuilding,IfcCompressor,1
FactoryBuilding,IfcController,1
FactoryBuilding,IfcCovering,330
FactoryBuilding,IfcCurtainWall,64
FactoryBuilding,IfcDamper,16
FactoryBuilding,IfcDiscreteAccessory,86
FactoryBuilding,IfcDoor,85
FactoryBuilding,IfcDuctFitting,173
FactoryBuilding,IfcDuctSegment,464
FactoryBuilding,IfcDuctSilencer,8
FactoryBuilding,IfcElectricMotor,1
FactoryBuilding,IfcFilter,3
FactoryBuilding,IfcFireSuppressionTerminal,5
FactoryBuilding,IfcFlowController,41
FactoryBuilding,IfcFlowInstrument,4
FactoryBuilding,IfcFlowMeter,14
FactoryBuilding,IfcFlowMovingDevice,11
FactoryBuilding,IfcFlowSegment,10
FactoryBuilding,IfcFurniture,3
FactoryBuilding,IfcGeographicElement,2
FactoryBuilding,IfcLightFixture,5
FactoryBuilding,IfcMechanicalFastener,54
FactoryBuilding,IfcMember,108
FactoryBuilding,IfcPipeFitting,944
FactoryBuilding,IfcPipeSegment,6167
FactoryBuilding,IfcPlate,151
FactoryBuilding,IfcPump,33
FactoryBuilding,IfcRailing,348
FactoryBuilding,IfcRamp,13
FactoryBuilding,IfcRampFlight,11
FactoryBuilding,IfcReinforcingBar,4
FactoryBuilding,IfcRoof,68
FactoryBuilding,IfcSanitaryTerminal,28
FactoryBuilding,IfcShadingDevice,20
FactoryBuilding,IfcSlab,678
FactoryBuilding,IfcStair,105
FactoryBuilding,IfcStairFlight,176
FactoryBuilding,IfcSwitchingDevice,3
FactoryBuilding,IfcTank,7
FactoryBuilding,IfcTendon,154
FactoryBuilding,IfcTransportElement,6
FactoryBuilding,IfcValve,89
FactoryBuilding,IfcWall,1470
FactoryBuilding,IfcWindow,93
Hospital,IfcAirTerminal,295
Hospital,IfcAudioVisualAppliance,2
Hospital,IfcBeam,17165
Hospital,IfcBuildingElementProxy,79
Hospital,IfcCableCarrierFitting,2535
Hospital,IfcCableCarrierSegment,9987
Hospital,IfcChiller,1
Hospital,IfcCoil,155
Hospital,IfcColumn,5802
Hospital,IfcCondenser,1
Hospital,IfcController,1
Hospital,IfcCoolingTower,2
Hospital,IfcCovering,5594
Hospital,IfcCurtainWall,1857
Hospital,IfcDamper,582
Hospital,IfcDiscreteAccessory,51
Hospital,IfcDoor,468
Hospital,IfcDuctFitting,10156
Hospital,IfcDuctSegment,43540
Hospital,IfcDuctSilencer,182
Hospital,IfcEnergyConversionDevice,72
Hospital,IfcFan,11
Hospital,IfcFilter,14
Hospital,IfcFireSuppressionTerminal,43
Hospital,IfcFlowController,8
Hospital,IfcFlowInstrument,14
Hospital,IfcFlowMeter,40
Hospital,IfcFlowMovingDevice,177
Hospital,IfcFurniture,2
Hospital,IfcHeatExchanger,1
Hospital,IfcLightFixture,14
Hospital,IfcMechanicalFastener,61
Hospital,IfcMember,48
Hospital,IfcPile,66
Hospital,IfcPipeFitting,13234
Hospital,IfcPipeSegment,151067
Hospital,IfcPlate,42
Hospital,IfcPump,19
Hospital,IfcRailing,1628
Hospital,IfcRamp,94
Hospital,IfcRampFlight,85
Hospital,IfcRoof,1
Hospital,IfcSanitaryTerminal,74
Hospital,IfcSensor,2
Hospital,IfcShadingDevice,13
Hospital,IfcSlab,12311
Hospital,IfcSolarDevice,1
Hospital,IfcStair,410
Hospital,IfcStairFlight,470
Hospital,IfcTank,8
Hospital,IfcTransformer,1
Hospital,IfcTransportElement,2
Hospital,IfcValve,232
Hospital,IfcWall,24356
Hospital,IfcWindow,398
Hotels,IfcAirTerminal,10
Hotels,IfcBeam,2203
Hotels,IfcBuildingElementProxy,15
Hotels,IfcCableCarrierFitting,561
Hotels,IfcCableCarrierSegment,2242
Hotels,IfcCoil,11
Hotels,IfcColumn,617
Hotels,IfcController,1
Hotels,IfcCovering,8596
Hotels,IfcCurtainWall,618
Hotels,IfcDamper,29
Hotels,IfcDiscreteAccessory,16
Hotels,IfcDoor,219
Hotels,IfcDuctFitting,1750
Hotels,IfcDuctSegment,4156
Hotels,IfcDuctSilencer,1
Hotels,IfcElectricAppliance,2
Hotels,IfcFireSuppressionTerminal,3
Hotels,IfcFlowMovingDevice,6
Hotels,IfcFurniture,21
Hotels,IfcLightFixture,9
Hotels,IfcMechanicalFastener,4
Hotels,IfcMember,722
Hotels,IfcOutlet,1
Hotels,IfcPipeFitting,1369
Hotels,IfcPipeSegment,5873
Hotels,IfcRailing,183
Hotels,IfcRampFlight,2
Hotels,IfcRoof,12
Hotels,IfcSanitaryTerminal,3
Hotels,IfcSensor,1
Hotels,IfcShadingDevice,3
Hotels,IfcSlab,1553
Hotels,IfcStair,154
Hotels,IfcStairFlight,251
Hotels,IfcSwitchingDevice,3
Hotels,IfcTank,1
Hotels,IfcTransportElement,4
Hotels,IfcValve,12
Hotels,IfcWall,10881
Hotels,IfcWindow,51
Layout,IfcBeam,91
Layout,IfcBuildingElementProxy,21
Layout,IfcCivilElement,46
Layout,IfcColumn,2235
Layout,IfcDiscreteAccessory,3
Layout,IfcDoor,22
Layout,IfcFlowController,2
Layout,IfcFooting,34
Layout,IfcGeographicElement,5
Layout,IfcMechanicalFastener,4
Layout,IfcRailing,268
Layout,IfcRamp,116
Layout,IfcReinforcingBar,1
Layout,IfcRoof,295
Layout,IfcSanitaryTerminal,4
Layout,IfcSlab,15
Layout,IfcStair,214
Layout,IfcStairFlight,72
Layout,IfcTransportElement,3
Layout,IfcWall,4743
Layout,IfcWindow,23
Malls,IfcAirTerminal,5
Malls,IfcBeam,28028
Malls,IfcBoiler,1
Malls,IfcBuildingElementProxy,28
Malls,IfcCableCarrierFitting,820
Malls,IfcCableCarrierSegment,5512
Malls,IfcChiller,2
Malls,IfcCoil,8
Malls,IfcColumn,6799
Malls,IfcCovering,248
Malls,IfcCurtainWall,1178
Malls,IfcDoor,523
Malls,IfcDuctFitting,4006
Malls,IfcDuctSegment,11522
Malls,IfcDuctSilencer,5
Malls,IfcEnergyConversionDevice,294
Malls,IfcFan,1
Malls,IfcFilter,30
Malls,IfcFireSuppressionTerminal,7
Malls,IfcFlowInstrument,1
Malls,IfcFlowMeter,4
Malls,IfcFlowMovingDevice,20
Malls,IfcFlowTreatmentDevice,5
Malls,IfcFooting,35
Malls,IfcFurniture,3
Malls,IfcGeographicElement,3
Malls,IfcHeatExchanger,3
Malls,IfcInterceptor,9
Malls,IfcLightFixture,2
Malls,IfcMember,122
Malls,IfcPipeFitting,2467
Malls,IfcPipeSegment,45534
Malls,IfcPump,18
Malls,IfcRailing,214
Malls,IfcRamp,21
Malls,IfcRampFlight,6
Malls,IfcRoof,9
Malls,IfcSanitaryTerminal,361
Malls,IfcSlab,6078
Malls,IfcStair,707
Malls,IfcStairFlight,1185
Malls,IfcTank,9
Malls,IfcTransportElement,17
Malls,IfcValve,63
Malls,IfcWall,14105
Malls,IfcWallStandardCase,9748
Malls,IfcWindow,71
Metro,IfcAirTerminal,411
Metro,IfcAlarm,11
Metro,IfcAudioVisualAppliance,6
Metro,IfcBeam,3439
Metro,IfcBuildingElementProxy,69
Metro,IfcCableCarrierFitting,2080
Metro,IfcCableCarrierSegment,20838
Metro,IfcChiller,4
Metro,IfcCoil,29
Metro,IfcColumn,1874
Metro,IfcCommunicationsAppliance,2
Metro,IfcCondenser,1
Metro,IfcController,2
Metro,IfcCoolingTower,1
Metro,IfcCovering,13458
Metro,IfcCurtainWall,200
Metro,IfcDamper,1092
Metro,IfcDiscreteAccessory,460
Metro,IfcDistributionControlElement,3
Metro,IfcDoor,339
Metro,IfcDuctFitting,4866
Metro,IfcDuctSegment,18909
Metro,IfcDuctSilencer,273
Metro,IfcElectricAppliance,6
Metro,IfcElectricFlowStorageDevice,2
Metro,IfcEnergyConversionDevice,68
Metro,IfcFan,2
Metro,IfcFilter,31
Metro,IfcFireSuppressionTerminal,76
Metro,IfcFlowController,255
Metro,IfcFlowInstrument,52
Metro,IfcFlowMeter,5
Metro,IfcFlowMovingDevice,190
Metro,IfcFlowStorageDevice,5
Metro,IfcFlowTreatmentDevice,16
Metro,IfcFooting,110
Metro,IfcFurniture,4
Metro,IfcInterceptor,8
Metro,IfcLightFixture,67
Metro,IfcMechanicalFastener,3
Metro,IfcMember,296
Metro,IfcOutlet,9
Metro,IfcPile,9
Metro,IfcPipeFitting,3153
Metro,IfcPipeSegment,28137
Metro,IfcPlate,347
Metro,IfcProtectiveDeviceTrippingUnit,2
Metro,IfcPump,56
Metro,IfcRailing,248
Metro,IfcRamp,6
Metro,IfcRampFlight,2
Metro,IfcRoof,13
Metro,IfcSanitaryTerminal,73
Metro,IfcSensor,15
