project_type,new_category,instance_count
EquipmentRoom,IfcAirTerminal,149
EquipmentRoom,IfcAudioVisualAppliance,9
EquipmentRoom,IfcBeam,2409
EquipmentRoom,IfcBuildingElementProxy,10
EquipmentRoom,IfcCableCarrierFitting,1640
EquipmentRoom,IfcCableCarrierSegment,9535
EquipmentRoom,IfcColumn,496
EquipmentRoom,IfcCommunicationsAppliance,4
EquipmentRoom,IfcCoolingTower,2
EquipmentRoom,IfcCovering,8130
EquipmentRoom,IfcCurtainWall,59
EquipmentRoom,IfcDamper,466
EquipmentRoom,IfcDistributionChamberElement,2
EquipmentRoom,IfcDistributionControlElement,132
EquipmentRoom,IfcDoor,105
EquipmentRoom,IfcDuctFitting,3484
EquipmentRoom,IfcDuctSegment,14848
EquipmentRoom,IfcDuctSilencer,99
EquipmentRoom,IfcElectricAppliance,8
EquipmentRoom,IfcElementComponent,1780
EquipmentRoom,IfcEnergyConversionDevice,64
EquipmentRoom,IfcFilter,92
EquipmentRoom,IfcFireSuppressionTerminal,52
EquipmentRoom,IfcFlowController,191
EquipmentRoom,IfcFlowMovingDevice,171
EquipmentRoom,IfcFlowStorageDevice,21
EquipmentRoom,IfcFlowTreatmentDevice,32
EquipmentRoom,IfcFooting,110
EquipmentRoom,IfcLightFixture,77
EquipmentRoom,IfcMember,9
EquipmentRoom,IfcOutlet,11
EquipmentRoom,IfcPile,3
EquipmentRoom,IfcPipeFitting,4387
EquipmentRoom,IfcPipeSegment,79453
EquipmentRoom,IfcRailing,12
EquipmentRoom,IfcRampFlight,1
EquipmentRoom,IfcReinforcingElement,1
EquipmentRoom,IfcSanitaryTerminal,35
EquipmentRoom,IfcSlab,224
EquipmentRoom,IfcStair,82
EquipmentRoom,IfcStairFlight,71
EquipmentRoom,IfcTransportElement,1
EquipmentRoom,IfcValve,285
EquipmentRoom,IfcWall,1122
EquipmentRoom,IfcWindow,14
FactoryBuilding,IfcAirTerminal,30
FactoryBuilding,IfcBeam,1873
FactoryBuilding,IfcBuildingElementProxy,23
FactoryBuilding,IfcCableCarrierFitting,104
FactoryBuilding,IfcCableCarrierSegment,739
FactoryBuilding,IfcColumn,628
FactoryBuilding,IfcCovering,330
FactoryBuilding,IfcCurtainWall,64
