new_category,instance_count
IfcAirTerminal,1440
IfcAudioVisualAppliance,38
IfcBeam,130716
IfcBuildingElementProxy,358
IfcCableCarrierFitting,12260
IfcCableCarrierSegment,69961
IfcChimney,1
IfcCivilElement,46
IfcColumn,38428
IfcCommunicationsAppliance,6
IfcCoolingTower,10
IfcCovering,37895
IfcCurtainWall,5667
IfcDamper,3031
IfcDistributionChamberElement,2
IfcDistributionControlElement,324
IfcDoor,3765
IfcDuctFitting,34249
IfcDuctSegment,127576
IfcDuctSilencer,791
IfcElectricAppliance,33
IfcElementComponent,2614
IfcEnergyConversionDevice,802
IfcFilter,189
IfcFireSuppressionTerminal,249
IfcFlowController,607
IfcFlowMovingDevice,1007
IfcFlowSegment,50
IfcFlowStorageDevice,259
IfcFlowTerminal,2
IfcFlowTreatmentDevice,130
IfcFooting,1996
IfcFurnishingElement,207
IfcGeographicElement,39
IfcLightFixture,357
IfcMember,3164
IfcOutlet,41
IfcPile,174
IfcPipeFitting,35887
IfcPipeSegment,479004
IfcPlate,829
IfcRailing,5904
IfcRamp,527
IfcRampFlight,198
IfcReinforcingElement,160
IfcRoof,644
IfcSanitaryTerminal,843
IfcShadingDevice,41
IfcSlab,49484
IfcSpaceHeater,4
IfcStair,3749
IfcStairFlight,5086
IfcTransportElement,70
IfcValve,1583
IfcWall,156464
IfcWindow,1784
